customer_id,age,annual_income,purchase_frequency,avg_order_value,satisfaction
SEG0558,24,54575.38,12.27,231.18,3.52
SEG0559,30,46670.35,5.91,230.79,3.28
SEG0560,32,89200.32,28.09,140.16,3.78
SEG0561,40,85286.61,26.11,110.04,4.78
SEG0562,38,36089.89,26.35,133.72,4.23
SEG0563,60,88174.86,36.1,52.46,4.69
SEG0564,39,92134.78,22.82,132.03,4.24
SEG0565,59,85124.71,33.46,75.47,4.85
SEG0566,37,32668.37,6.02,64.41,2.94
SEG0567,47,75435.64,28.96,71.16,4.9
SEG0568,33,30980.11,13.48,51.13,2.05
SEG0569,44,83265.33,25.46,123.73,4.61
SEG0570,35,69576.45,5.39,239.82,3.09
SEG0571,32,25581.3,11.15,56.69,2.52
SEG0572,28,60845.95,9.44,215.88,3.06
SEG0573,18,44969.21,7.71,35.17,2.64
SEG0574,52,106787.32,37.4,57.55,4.57
SEG0575,31,24983.58,6.36,43.84,3.38
SEG0576,29,49353.01,17.92,258.49,2.74
SEG0577,57,108318.79,37.79,97.98,4.95
SEG0578,62,75085.03,29.23,53.59,5.0
SEG0579,36,52995.06,14.17,246.05,4.01
SEG0580,39,59992.09,3.83,267.15,3.71
SEG0581,32,58406.71,13.14,215.25,3.16
SEG0582,30,38940.55,7.33,248.57,4.28
SEG0583,53,104337.04,32.09,74.86,4.01
SEG0584,37,103477.56,30.04,138.09,4.41
SEG0585,38,47804.52,6.37,190.19,3.58
SEG0586,51,86286.9,34.02,69.18,3.91
SEG0587,26,35142.03,10.46,28.27,2.96
SEG0588,33,55173.53,12.18,214.01,2.64
SEG0589,39,19283.81,8.67,57.83,2.19
SEG0590,39,74957.21,25.28,105.4,3.91
SEG0591,40,47028.0,10.01,175.82,4.12
SEG0592,49,76741.84,28.57,173.53,3.75
SEG0593,22,34153.9,4.83,29.63,1.78
SEG0594,59,62094.13,30.39,18.4,4.9
SEG0595,31,30776.36,14.73,52.88,2.14
SEG0596,38,90406.25,28.74,122.31,3.41
SEG0597,34,32384.5,9.77,16.89,2.74
SEG0598,58,88471.57,28.65,76.83,4.91
SEG0599,41,85852.72,21.39,111.34,4.51
SEG0600,56,128284.43,33.11,55.73,3.99
SEG0601,48,69475.59,29.67,114.55,4.31
SEG0602,41,81586.9,28.92,130.55,4.5
SEG0603,18,34393.98,10.09,42.41,1.42
SEG0604,33,81192.03,27.41,141.71,4.2
SEG0605,51,79865.32,23.56,77.06,5.0
SEG0606,33,44884.23,8.1,213.43,2.72
SEG0607,30,31374.43,9.32,64.68,2.45
SEG0608,45,44258.05,1.96,180.8,4.03
SEG0609,38,57977.78,27.36,119.03,4.46
SEG0610,30,43357.77,14.64,179.7,3.12
SEG0611,37,25917.31,10.93,306.56,3.89
SEG0612,28,45229.99,8.26,237.67,4.23
SEG0613,67,94203.13,29.87,62.1,4.99
SEG0614,40,52639.06,8.0,322.27,3.81
SEG0615,31,77518.79,26.81,122.29,4.77
SEG0616,41,64175.22,23.16,149.29,3.59
SEG0617,55,112944.52,26.56,57.89,3.94
SEG0618,23,28990.67,9.05,35.92,2.33
SEG0619,34,33923.4,18.54,38.34,2.3
SEG0620,35,47184.54,7.89,127.18,3.33
SEG0621,48,104727.57,31.8,133.6,4.42
SEG0622,30,28807.25,6.16,47.46,2.45
SEG0623,63,56006.77,31.31,94.95,4.96
SEG0624,22,24459.95,9.82,52.77,2.73
SEG0625,35,58009.6,9.03,249.01,3.92
SEG0626,40,65563.17,28.92,115.39,3.32
SEG0627,43,54377.88,8.84,211.05,3.88
SEG0628,26,52033.21,9.13,246.67,2.73
SEG0629,32,29588.47,7.39,29.54,3.5
SEG0630,57,102333.52,27.79,49.77,5.0
SEG0631,26,64201.54,15.2,182.47,3.29
SEG0632,43,67253.14,34.53,95.7,4.35
SEG0633,24,22892.38,5.48,58.15,2.64
SEG0634,23,57302.36,17.48,200.93,3.2
SEG0635,61,115753.39,35.29,69.77,4.51
SEG0636,24,40489.35,9.44,194.13,3.61
SEG0637,57,99089.67,32.08,87.31,5.0
SEG0638,43,75132.03,25.86,107.58,4.69
SEG0639,31,50503.74,8.7,235.01,3.62
SEG0640,33,67395.52,8.3,207.84,4.31
SEG0641,38,103199.72,18.02,118.51,3.45
SEG0642,26,56238.7,9.14,190.56,4.24
SEG0643,50,77275.75,18.77,157.42,3.98
SEG0644,60,112071.5,30.4,96.1,4.53
SEG0645,37,59068.35,11.65,304.42,3.13
SEG0646,51,92330.59,44.17,97.28,4.45
SEG0647,32,51858.5,9.09,251.03,3.81
SEG0648,65,133330.53,31.47,71.47,4.54
SEG0649,41,83179.79,28.54,179.37,3.88
SEG0650,36,44131.4,9.62,349.35,3.44
SEG0651,58,66249.19,24.16,120.2,4.28
SEG0652,33,59150.73,1.0,172.58,4.35
SEG0653,20,29945.83,12.45,44.55,2.12
SEG0654,37,59823.46,5.61,239.72,3.89
SEG0655,49,83195.75,32.84,131.35,3.76
SEG0656,57,119380.79,28.43,38.01,4.91
SEG0657,55,137656.77,33.07,95.41,4.48
SEG0658,38,55477.43,13.52,229.26,3.26
SEG0659,34,27886.17,6.73,44.56,2.35
SEG0660,34,45748.08,12.48,273.51,3.87
SEG0661,38,34702.29,8.47,261.52,4.1
SEG0662,42,96301.28,27.23,56.13,4.16
SEG0663,29,46270.49,12.21,234.4,3.27
SEG0664,54,105727.17,31.26,86.49,4.33
SEG0665,26,25551.32,7.79,66.56,2.17
SEG0666,40,66430.01,25.27,127.93,4.75
SEG0667,56,100014.54,24.5,60.73,5.0
SEG0668,38,88777.22,22.3,125.05,4.97
SEG0669,62,63563.85,44.89,57.86,5.0
SEG0670,31,40498.35,6.2,188.38,3.25
SEG0671,43,84711.71,31.68,136.13,4.23
SEG0672,54,93056.01,29.98,52.34,5.0
SEG0673,29,33468.95,14.87,19.44,3.51
SEG0674,38,65597.85,23.83,158.15,5.0
SEG0675,38,29224.11,2.81,40.9,2.21
SEG0676,48,108281.53,32.02,83.26,5.0
SEG0677,32,31629.12,16.56,40.15,2.21
SEG0678,27,35098.83,12.73,41.63,2.36
SEG0679,36,24467.9,20.99,42.02,2.41
SEG0680,36,56979.46,5.38,236.38,3.08
SEG0681,24,22756.45,10.56,43.25,1.59
SEG0682,39,77596.36,29.44,93.34,4.06
SEG0683,27,58787.55,5.33,245.11,3.34
SEG0684,24,51345.18,3.26,274.18,4.32
SEG0685,38,46003.86,8.09,234.04,3.99
SEG0686,33,55820.44,1.28,231.7,3.11
SEG0687,34,42282.93,9.65,250.88,3.4
SEG0688,53,108123.7,38.23,106.71,4.88
SEG0689,36,39689.54,13.26,107.57,4.04
SEG0690,34,29236.96,9.35,212.43,3.3
SEG0691,41,77733.52,25.91,87.8,4.38
SEG0692,56,125992.37,35.44,91.05,5.0
SEG0693,62,95419.63,21.77,78.97,5.0
SEG0694,39,47249.49,8.24,193.1,3.64
SEG0695,40,98208.73,26.48,137.37,3.83
SEG0696,25,25343.99,15.67,39.92,2.57
SEG0697,49,76268.99,31.0,69.86,4.81
SEG0698,40,20380.51,13.91,49.93,2.22
SEG0699,40,93725.8,25.75,120.79,3.73
SEG0700,38,60922.94,29.54,107.57,3.66
SEG0701,44,66540.16,32.19,131.18,4.29
SEG0702,44,86015.75,28.84,130.84,3.74
SEG0703,33,52555.34,1.47,118.13,2.95
SEG0704,18,29197.96,6.91,45.88,2.82
SEG0705,30,34502.42,13.78,41.77,1.33
SEG0706,24,56664.96,8.78,253.64,4.78
SEG0707,35,51106.07,9.38,162.39,3.84
SEG0708,33,67750.65,1.6,220.22,3.22
SEG0709,52,108983.71,30.73,96.95,4.46
SEG0710,26,43604.34,4.6,37.24,1.11
SEG0711,40,87698.44,27.64,134.12,3.81
SEG0712,42,72418.28,25.98,134.98,4.04
SEG0713,28,31436.66,7.3,45.79,1.93
SEG0714,59,78406.08,31.9,82.68,4.28
SEG0715,34,42300.37,7.4,43.57,3.05
SEG0716,32,78468.77,24.79,155.75,4.09
SEG0717,31,27258.57,13.81,33.9,2.89
SEG0718,43,44943.7,26.25,147.36,3.65
SEG0719,29,52831.43,5.95,235.95,3.41
SEG0720,26,73793.62,6.64,226.01,4.3
SEG0721,39,57124.68,12.23,246.69,3.75
SEG0722,31,31028.02,14.3,51.68,1.47
SEG0723,33,27429.79,10.97,28.44,2.24
SEG0724,32,57023.16,5.65,115.17,3.28
SEG0725,26,35646.49,10.59,37.41,2.62
SEG0726,54,94431.66,18.36,200.79,4.73
SEG0727,68,71189.48,30.34,84.71,4.2
SEG0728,46,100930.98,24.67,178.72,4.52
SEG0729,32,65800.58,30.43,100.48,4.69
SEG0730,62,103512.05,29.69,79.97,5.0
SEG0731,56,108762.43,40.03,79.33,4.48
SEG0732,25,19997.78,5.15,48.35,2.94
SEG0733,55,114880.91,35.58,62.28,4.43
SEG0734,35,88445.0,26.01,155.39,4.17
SEG0735,28,59298.46,1.0,203.68,3.15
SEG0736,52,102566.66,27.69,113.45,4.97
SEG0737,54,73585.05,24.05,76.69,3.93
SEG0738,43,46567.02,2.85,274.0,3.89
SEG0739,53,54138.77,18.36,174.64,2.94
SEG0740,36,78776.77,20.68,136.04,3.68
SEG0741,36,36134.57,11.1,41.49,2.03
SEG0742,27,24904.52,17.67,48.16,2.11
SEG0743,52,77351.87,31.6,169.14,4.4
SEG0744,35,69849.77,40.36,114.24,4.08
SEG0745,31,43205.2,10.82,155.2,3.13
SEG0746,36,49654.35,8.65,218.5,2.97
SEG0747,37,38583.76,6.18,49.72,2.28
SEG0748,35,36947.51,15.02,35.62,1.89
SEG0749,18,47409.08,13.62,57.33,1.85
SEG0750,47,53828.11,27.82,130.59,4.07
SEG0751,40,94508.03,23.91,168.71,4.18
SEG0752,30,35169.6,11.84,47.26,3.47
SEG0753,35,17273.53,9.17,59.71,2.13
SEG0754,28,32456.98,16.37,34.64,2.09
SEG0755,46,82839.62,28.09,139.22,4.15
SEG0756,61,101622.48,31.0,73.95,4.46
SEG0757,54,107835.67,26.77,86.37,4.58
SEG0758,42,75511.3,28.01,172.33,5.0
SEG0759,40,52735.03,11.2,122.14,3.77
SEG0760,36,37541.52,5.68,233.44,3.67
SEG0761,49,101442.62,25.4,97.45,4.57
SEG0762,66,120359.26,33.88,108.0,4.58
SEG0763,53,61710.26,16.94,96.34,3.94
SEG0764,43,64905.68,26.51,148.5,4.36
SEG0765,57,119214.28,28.8,71.02,4.45
SEG0766,47,72026.21,27.6,153.35,3.97
SEG0767,33,74837.83,22.82,111.63,3.09
SEG0768,48,112111.62,28.25,94.07,4.38
SEG0769,46,74445.01,28.6,122.75,4.3
SEG0770,65,106309.48,29.25,44.09,4.65
SEG0771,31,32886.91,6.49,46.5,2.8
SEG0772,42,49884.98,17.83,290.34,3.58
SEG0773,30,40000.21,6.15,37.06,1.92
SEG0774,32,43950.24,6.58,218.32,2.88
SEG0775,36,38865.29,8.16,59.67,2.67
SEG0776,41,39302.86,6.65,250.41,3.43
SEG0777,33,50964.12,9.49,225.39,4.2
SEG0778,37,79327.07,28.82,94.43,4.05
SEG0779,59,124511.01,32.55,87.51,5.0
SEG0780,41,99417.93,30.26,99.8,5.0
SEG0781,39,56863.73,8.42,260.44,3.49
SEG0782,42,41993.99,12.15,202.44,3.81
SEG0783,19,33553.45,9.4,44.55,1.7
SEG0784,43,79820.82,18.87,97.09,4.27
SEG0785,30,31708.45,10.18,45.27,2.25
SEG0786,42,58321.84,23.66,128.79,4.76
SEG0787,27,43873.9,17.72,45.69,2.31
SEG0788,57,88473.84,27.75,109.37,4.01
SEG0789,28,65927.63,10.01,204.98,3.29
SEG0790,22,31597.74,10.68,22.47,2.07
SEG0791,24,38252.39,7.78,27.24,2.0
SEG0792,44,48510.8,3.85,139.0,3.51
SEG0793,29,34540.77,20.91,32.76,2.33
SEG0794,45,71856.46,17.74,144.62,3.92
SEG0795,52,82239.45,38.2,96.43,4.21
SEG0796,33,90613.03,34.23,196.71,3.56
SEG0797,36,31969.13,2.28,36.49,2.15
SEG0798,37,39205.71,11.78,243.01,3.96
SEG0799,30,55711.36,3.86,252.75,3.39
SEG0800,33,51693.71,1.03,277.59,3.54
SEG0801,41,62484.53,4.75,206.94,2.8
SEG0802,41,55038.41,8.8,206.64,3.06
SEG0803,51,106156.94,31.29,125.21,4.38
SEG0804,49,79321.08,33.78,165.7,5.0
SEG0805,35,29397.23,8.29,201.63,3.58
SEG0806,39,28878.98,6.67,38.6,3.47
SEG0807,31,54428.44,15.39,252.12,2.49
SEG0808,55,86484.34,25.03,67.14,3.48
SEG0809,45,78104.5,23.17,78.25,4.83
SEG0810,25,38322.06,9.5,59.45,2.76
SEG0811,35,44140.44,13.2,210.06,3.13
SEG0812,57,97185.67,35.5,43.95,5.0
SEG0813,31,31908.45,11.78,29.84,2.56
SEG0814,38,49242.75,10.09,258.39,3.17
SEG0815,35,31652.93,17.63,57.96,2.68
SEG0816,53,96032.61,36.03,65.77,4.9
SEG0817,31,31352.22,6.71,60.82,2.71
SEG0818,32,44603.93,11.59,216.64,3.94
SEG0819,28,54832.41,6.08,304.29,3.67
SEG0820,37,91126.89,30.94,120.36,3.84
SEG0821,45,117417.87,24.99,74.2,3.92
SEG0822,69,121541.54,33.2,92.29,4.64
SEG0823,38,54462.65,29.17,101.13,5.0
SEG0824,36,92209.49,31.1,91.68,4.0
SEG0825,33,84597.16,7.02,164.91,3.72
SEG0826,37,77135.92,24.18,144.82,3.95
SEG0827,39,93149.75,27.16,130.81,3.33
SEG0828,32,29288.97,11.11,26.74,2.62
SEG0829,29,30677.85,6.46,56.54,2.16
SEG0830,39,61801.4,4.67,256.21,3.31
SEG0831,47,64860.02,25.54,132.2,4.19
SEG0832,30,27341.38,7.79,52.07,2.31
SEG0833,55,83150.27,30.16,58.05,5.0
SEG0834,40,62785.26,25.19,90.06,3.81
SEG0835,36,25732.36,9.43,66.84,2.61
SEG0836,40,50093.14,26.67,108.04,4.45
SEG0837,54,102889.16,37.79,86.08,4.11
SEG0838,59,114995.79,25.92,102.84,4.76
SEG0839,46,73172.64,26.19,104.42,4.9
SEG0840,45,72092.79,1.0,235.95,3.69
SEG0841,39,83234.32,20.25,172.09,3.51
SEG0842,36,59386.83,5.6,286.43,2.68
SEG0843,43,54319.63,22.91,115.88,3.95
SEG0844,36,25247.01,3.78,40.73,2.55
SEG0845,61,118353.39,23.4,102.86,4.33
SEG0846,32,52216.87,1.0,199.07,3.95
SEG0847,47,70973.66,26.85,143.2,4.08
SEG0848,37,44507.83,4.22,205.63,2.41
SEG0849,47,79167.36,25.11,152.78,4.37
SEG0850,64,125868.4,33.32,63.12,5.0
SEG0851,24,27609.41,8.83,56.47,2.84
SEG0852,33,32707.85,12.28,50.95,2.19
SEG0853,38,51963.17,6.38,202.72,3.25
SEG0854,26,31953.28,12.66,59.94,2.76
SEG0855,29,20479.26,19.68,37.99,2.2
SEG0856,36,25657.03,11.49,40.42,2.39
SEG0857,34,40827.45,7.51,269.66,3.47
SEG0858,75,99616.03,27.21,66.39,3.83
SEG0859,40,67027.15,11.37,179.34,3.11
SEG0860,38,47123.97,4.56,172.93,4.34
SEG0861,55,112670.95,34.2,61.0,4.72
SEG0862,52,123541.75,28.36,81.03,4.48
SEG0863,37,93125.48,23.92,77.67,4.39
SEG0864,24,32907.77,13.42,48.53,2.9
SEG0865,26,63217.59,6.81,150.95,2.4
SEG0866,56,84131.35,28.92,80.52,5.0
SEG0867,53,99623.44,29.73,58.72,4.24
SEG0868,38,32076.45,9.24,38.22,2.53
SEG0869,54,132045.87,33.01,77.3,4.75
SEG0870,36,31872.87,8.09,46.59,2.86
SEG0871,41,54012.5,8.92,268.05,2.27
SEG0872,59,87690.68,32.23,80.87,5.0
SEG0873,35,67901.5,22.44,112.64,3.58
SEG0874,47,60150.09,4.9,220.75,3.3
SEG0875,29,27577.85,3.91,39.33,3.12
SEG0876,49,117353.29,34.24,68.41,5.0
SEG0877,29,19688.31,8.38,41.29,3.15
SEG0878,32,50026.33,3.36,216.94,2.97
SEG0879,35,29577.71,5.23,57.13,1.91
SEG0880,30,23433.24,11.17,55.57,2.21
SEG0881,21,25383.64,9.78,64.09,2.98
SEG0882,35,25837.29,14.39,54.77,2.64
SEG0883,24,37599.82,7.29,51.51,2.33
SEG0884,22,29665.73,17.87,33.46,2.95
SEG0885,63,94747.47,29.79,54.4,5.0
SEG0886,21,15939.07,11.23,31.63,2.45
SEG0887,26,46558.86,8.28,233.14,4.1
SEG0888,34,53003.15,7.04,264.72,2.99
SEG0889,55,97977.42,28.38,98.03,4.84
SEG0890,36,83733.09,31.24,109.42,4.81
SEG0891,30,33161.7,14.79,47.02,2.68
SEG0892,29,21898.16,11.65,47.5,2.33
SEG0893,18,35583.16,6.56,33.85,1.95
SEG0894,31,84482.41,35.42,113.41,4.57
SEG0895,33,54580.94,7.73,257.86,2.96
SEG0896,35,62621.88,10.8,235.8,3.54
SEG0897,56,91777.75,25.79,83.3,5.0
SEG0898,60,98293.22,34.4,40.05,4.47
SEG0899,28,22169.01,10.64,26.68,2.81
SEG0900,35,50213.58,11.05,227.12,3.71
