area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,school_rating,neighborhood,garage_spaces,price
2738.0,4,3,63,14.0,9.9,Suburban,1,829121.0
2723.0,5,4,40,7.0,6.9,Urban,1,1021643.0
2423.0,3,3,24,9.7,5.0,Suburban,1,857352.0
1793.0,3,2,75,3.7,8.0,Suburban,2,664296.0
2799.0,4,3,16,3.0,8.3,Suburban,0,1059074.0
2607.0,5,5,22,1.7,7.2,Rural,2,1054762.0
1480.0,3,2,51,9.7,4.2,Suburban,1,501123.0
2663.0,5,5,28,,8.9,Suburban,1,1026266.0
1253.0,2,2,38,2.2,7.3,Suburban,2,574846.0
1682.0,2,2,63,3.5,6.5,Suburban,2,526246.0
724.0,2,2,73,4.5,8.8,Urban,1,421941.0
1888.0,3,3,64,2.5,4.0,Suburban,2,626794.0
1623.0,3,3,6,8.2,7.2,Urban,0,732955.0
1529.0,1,1,75,5.1,6.2,Suburban,0,503536.0
1701.0,2,3,33,14.8,9.2,Urban,0,677765.0
1452.0,4,4,67,3.7,7.4,Rural,0,537955.0
1825.0,3,3,22,11.6,5.7,Suburban,2,716403.0
2570.0,4,3,47,1.8,8.7,Urban,1,1086756.0
1163.0,1,1,77,4.1,3.3,Suburban,2,280065.0
2318.0,3,2,75,7.2,,Suburban,1,762188.0
1929.0,3,2,52,8.3,5.1,Suburban,1,624124.0
2024.0,3,3,49,16.3,6.3,Suburban,2,680419.0
1782.0,4,3,2,8.1,6.6,Urban,1,792960.0
1370.0,3,2,48,8.2,8.4,Rural,1,513709.0
2067.0,3,3,33,3.0,10.0,Rural,0,801083.0
2111.0,3,2,1,3.4,4.3,Rural,2,740014.0
1320.0,2,2,75,4.5,7.7,Suburban,0,396109.0
997.0,1,2,36,6.4,10.0,Urban,1,599833.0
1851.0,2,1,61,5.9,6.1,Rural,2,622571.0
2253.0,4,3,3,8.3,6.0,Urban,1,869245.0
2403.0,4,3,19,15.2,7.4,,0,881212.0
2522.0,3,2,71,6.6,8.2,Suburban,2,887705.0
2023.0,2,1,74,10.6,8.0,Suburban,0,656664.0
1642.0,3,3,0,,6.5,Suburban,2,807393.0
1799.0,2,2,71,16.5,5.8,Suburban,1,560144.0
1054.0,2,2,24,6.4,9.0,Urban,1,610163.0
1390.0,2,2,17,16.4,5.8,Suburban,2,610158.0
1768.0,3,2,79,5.4,4.1,Rural,1,508272.0
1640.0,2,2,42,4.8,4.8,Rural,2,581574.0
1855.0,3,3,63,4.0,6.1,Urban,2,637051.0
975.0,2,2,11,2.7,,Urban,2,544232.0
1109.0,2,2,60,12.2,5.2,Urban,1,471821.0
2265.0,3,2,29,3.5,9.3,Suburban,0,861642.0
1300.0,2,1,57,8.1,9.0,Suburban,0,475193.0
1394.0,3,3,52,2.4,7.3,Suburban,0,566708.0
1857.0,2,2,4,19.4,3.2,Urban,2,644259.0
1241.0,2,2,69,12.4,5.2,Suburban,0,417747.0
2464.0,3,3,23,11.8,6.0,Suburban,0,720567.0
1046.0,2,2,29,7.2,9.6,Suburban,1,552948.0
1801.0,4,4,63,5.9,6.1,Urban,0,723560.0
1351.0,2,2,70,4.3,5.8,Suburban,2,526077.0
1894.0,4,3,71,16.2,7.3,,2,618703.0
1502.0,2,2,36,1.8,,Suburban,1,518874.0
1786.0,3,3,28,9.8,7.0,Suburban,1,649134.0
2533.0,4,4,65,3.6,5.8,Urban,1,982133.0
1388.0,2,2,20,2.4,10.0,Urban,1,665804.0
1383.0,2,2,51,5.0,5.6,Urban,1,603386.0
1610.0,2,2,18,5.1,9.9,Urban,1,687319.0
2684.0,4,4,16,8.4,5.3,Urban,1,991490.0
1746.0,2,1,43,13.2,7.4,Suburban,0,550694.0
2541.0,5,4,69,5.8,7.8,Urban,1,934509.0
1694.0,1,1,23,1.4,7.2,Suburban,0,607666.0
2514.0,4,3,58,3.4,7.1,Urban,2,997010.0
2044.0,2,2,1,5.7,8.3,Urban,2,939266.0
2133.0,4,3,55,4.6,7.6,Urban,0,825817.0
939.0,1,2,31,9.8,6.7,Urban,0,433887.0
850.0,1,2,5,8.2,6.0,Suburban,1,383557.0
2442.0,4,3,44,10.9,6.8,Suburban,0,758167.0
2435.0,2,2,19,0.8,6.7,Suburban,1,924450.0
3253.0,5,4,50,12.5,6.7,Rural,2,961651.0
908.0,2,2,3,1.5,7.1,Urban,0,530465.0
2091.0,4,4,27,9.3,4.9,Suburban,2,809964.0
1186.0,1,1,18,14.5,5.5,Urban,0,344923.0
1356.0,2,2,25,1.1,8.2,Urban,2,619363.0
1499.0,3,3,0,0.7,3.6,Urban,1,643886.0
2029.0,4,3,22,6.0,8.8,Suburban,0,782216.0
1402.0,3,3,7,4.7,6.2,Suburban,1,663130.0
1820.0,4,3,49,2.2,9.5,Urban,0,837511.0
2299.0,3,3,36,0.7,8.8,Urban,1,889199.0
2477.0,4,3,22,12.6,6.5,Rural,2,818790.0
2216.0,3,3,49,2.3,6.7,Suburban,1,793213.0
2071.0,2,2,73,29.1,9.4,Suburban,2,581723.0
1715.0,3,3,43,2.5,8.9,Urban,1,782780.0
1459.0,1,1,22,2.7,8.5,Urban,2,676624.0
2123.0,3,3,32,0.4,8.7,Suburban,1,720814.0
1169.0,1,1,63,2.3,5.4,Urban,1,492484.0
1871.0,3,3,7,3.1,7.3,Suburban,0,775901.0
1155.0,1,1,25,6.1,5.8,Urban,2,535194.0
1775.0,2,1,37,9.3,5.3,Suburban,2,659583.0
1168.0,2,1,50,4.1,7.2,Suburban,2,418279.0
1560.0,2,2,46,9.2,6.4,Urban,2,568464.0
1394.0,2,2,55,17.7,6.8,Urban,1,518348.0
1322.0,1,2,75,5.2,6.2,Urban,2,420254.0
1748.0,3,2,13,4.2,5.1,Suburban,0,657069.0
500.0,1,1,38,2.7,9.5,Rural,2,377051.0
719.0,1,2,30,6.3,7.2,,0,444405.0
2282.0,2,2,7,16.1,4.8,Urban,2,800905.0
1888.0,4,3,10,6.0,7.3,Rural,2,751674.0
1366.0,3,3,50,9.5,9.3,Suburban,2,602067.0
2384.0,5,5,40,6.3,,Suburban,0,909674.0
1416.0,2,2,23,5.9,6.2,Urban,1,632305.0
1452.0,2,1,72,26.0,6.3,Urban,0,350162.0
1330.0,2,1,24,8.1,5.6,Rural,2,551686.0
2944.0,4,4,47,11.6,5.9,Suburban,1,927966.0
1941.0,2,2,79,8.9,6.0,Urban,2,686127.0
1917.0,4,3,56,6.1,4.8,Suburban,2,709685.0
2080.0,3,2,58,0.6,6.3,,0,660995.0
688.0,1,2,22,3.9,7.5,Urban,1,521896.0
1444.0,3,3,73,15.8,6.4,Rural,0,500011.0
2073.0,3,3,37,1.3,7.3,Suburban,2,744596.0
1798.0,2,2,24,3.5,9.4,Urban,1,767770.0
3123.0,4,3,59,3.6,9.8,Urban,0,1089174.0
1479.0,2,2,42,12.1,6.9,Suburban,1,456348.0
2366.0,4,4,10,,8.3,Suburban,1,801053.0
2284.0,4,3,1,1.9,6.8,Urban,0,893220.0
1886.0,4,3,9,5.5,6.3,Suburban,1,718827.0
1995.0,3,3,12,11.9,5.3,Suburban,2,706571.0
1626.0,2,3,17,3.7,7.1,Suburban,1,631392.0
616.0,2,1,27,9.4,8.6,Rural,1,332317.0
2010.0,4,3,18,5.3,5.1,Urban,1,776064.0
2057.0,3,3,72,22.0,6.6,Rural,0,620787.0
2151.0,3,3,76,4.0,6.5,Urban,1,780542.0
1838.0,3,2,77,10.5,7.4,Urban,0,673111.0
2382.0,3,3,12,4.5,7.4,Urban,2,875183.0
1280.0,3,3,42,7.0,7.8,Rural,1,511598.0
2681.0,4,3,8,2.1,9.8,Urban,2,1100785.0
1207.0,2,2,56,9.5,5.7,Urban,0,501902.0
1735.0,2,2,11,13.3,5.6,Urban,2,658417.0
2209.0,4,3,23,1.8,7.4,Suburban,1,844735.0
1491.0,2,2,16,3.4,9.2,Urban,2,707265.0
2249.0,4,3,38,12.5,4.8,Urban,0,774181.0
1594.0,4,3,29,4.8,7.5,Suburban,1,799182.0
1871.0,3,3,43,5.8,6.7,Rural,2,696907.0
1691.0,3,2,15,2.5,8.3,Rural,2,698543.0
1454.0,2,2,40,13.5,7.9,Rural,0,437522.0
3151.0,5,4,7,2.1,7.1,Urban,1,1134929.0
1296.0,2,2,3,5.8,7.7,Urban,0,621185.0
500.0,1,2,10,4.0,6.0,Urban,1,464986.0
1318.0,3,3,21,10.7,8.2,Rural,1,559876.0
1879.0,2,2,63,26.3,9.1,Suburban,0,554953.0
1574.0,3,2,26,1.4,7.2,Suburban,0,617663.0
2411.0,3,3,41,3.7,6.4,Suburban,1,767170.0
2389.0,3,3,54,4.7,6.8,Suburban,1,842058.0
1609.0,3,3,59,2.0,8.2,Suburban,2,671395.0
791.0,1,1,46,6.3,6.9,Urban,2,443024.0
1030.0,1,1,14,11.4,5.2,Suburban,2,443104.0
1781.0,2,2,53,7.5,8.4,Urban,2,662817.0
861.0,1,1,24,9.6,5.5,Urban,0,410916.0
1579.0,2,2,47,3.5,7.6,Urban,2,616250.0
2653.0,4,4,78,9.7,4.2,Rural,1,793669.0
2006.0,3,3,5,7.4,7.2,Rural,1,751468.0
1827.0,2,2,6,2.4,6.9,Suburban,1,800580.0
1176.0,1,1,19,6.5,4.0,Suburban,1,411936.0
1909.0,4,3,35,4.0,7.5,Urban,2,768014.0
1645.0,4,3,38,34.3,5.3,Urban,1,549523.0
1943.0,2,2,23,11.9,7.1,Urban,0,742116.0
2236.0,4,4,72,7.0,6.4,Urban,2,717428.0
2339.0,4,4,0,15.0,4.8,Suburban,1,895534.0
1877.0,2,2,43,9.9,5.4,Urban,1,660101.0
2107.0,3,2,44,2.4,5.6,Rural,2,657587.0
1493.0,1,1,61,18.0,8.5,Suburban,1,460707.0
2480.0,4,3,44,1.9,8.3,Urban,1,919300.0
1268.0,1,1,10,16.5,10.0,Suburban,0,459063.0
1676.0,3,2,25,7.5,6.2,Suburban,0,546425.0
2542.0,5,4,13,6.2,6.2,Suburban,1,998274.0
1511.0,3,3,37,3.5,7.2,Urban,2,685726.0
996.0,1,1,73,7.8,6.5,Urban,2,398566.0
1554.0,2,2,31,9.5,6.1,Suburban,2,639090.0
2635.0,5,4,29,8.9,7.1,Suburban,1,967028.0
500.0,1,1,37,7.4,8.1,Urban,1,292843.0
1861.0,3,3,13,5.6,3.8,Rural,1,695151.0
1420.0,4,4,67,10.2,6.1,Urban,0,672917.0
1699.0,3,2,53,4.7,4.9,Rural,1,584227.0
1591.0,3,3,57,6.0,6.8,Urban,1,624980.0
2376.0,4,3,27,8.5,7.6,Suburban,2,824258.0
1832.0,2,2,22,6.5,8.7,Urban,1,716175.0
2406.0,4,4,37,1.9,6.3,Suburban,0,889934.0
2570.0,3,3,19,7.5,7.2,Rural,1,929603.0
1818.0,4,3,1,7.5,4.5,Urban,2,759692.0
1584.0,2,2,58,7.1,5.7,Urban,1,566468.0
2026.0,4,4,68,5.7,7.3,Rural,1,764704.0
2142.0,4,3,17,5.0,5.0,Rural,1,743700.0
1108.0,1,2,50,6.6,8.9,Suburban,0,548936.0
1942.0,3,2,72,3.5,7.8,Urban,2,735733.0
1648.0,2,2,59,15.7,5.6,Urban,2,637036.0
1548.0,2,2,66,8.6,4.8,Urban,2,587415.0
1385.0,2,2,71,8.0,5.9,Suburban,0,503035.0
1425.0,2,2,20,13.2,5.7,Urban,2,594525.0
2553.0,3,2,5,3.2,5.2,Urban,0,908920.0
1582.0,3,2,64,4.4,4.9,Rural,0,520494.0
2486.0,4,3,63,4.1,6.7,Suburban,2,903326.0
1879.0,3,2,15,8.3,8.1,Suburban,1,762281.0
1120.0,1,1,72,3.1,5.9,Rural,0,262370.0
1914.0,4,3,1,10.8,7.7,Suburban,0,787952.0
1087.0,1,1,30,8.1,6.5,Urban,0,437730.0
2164.0,5,5,76,4.0,7.9,Rural,1,776189.0
1675.0,2,2,28,2.2,5.8,Rural,1,622388.0
2313.0,4,4,60,8.0,7.4,Urban,1,950643.0
2660.0,4,3,3,1.5,7.2,Urban,0,1014449.0
759.0,1,1,39,3.7,9.0,Urban,2,559418.0
1523.0,4,4,62,5.9,7.8,Urban,0,635297.0
1074.0,1,1,67,5.6,7.4,Urban,1,506490.0
3095.0,6,5,34,4.0,4.8,Urban,1,1156012.0
1536.0,2,2,6,10.4,6.2,Suburban,0,606710.0
1011.0,2,2,42,3.3,5.8,Urban,1,566082.0
3144.0,4,4,59,4.0,5.8,Rural,1,950316.0
1364.0,3,3,36,7.0,7.0,Suburban,1,659281.0
827.0,1,1,76,7.0,7.4,Urban,1,363283.0
1105.0,2,1,25,2.5,7.4,Suburban,2,502663.0
1886.0,3,3,65,6.7,8.9,Suburban,0,634202.0
1827.0,3,3,60,4.4,7.7,Suburban,2,786035.0
1298.0,1,1,34,4.2,5.2,Rural,1,491909.0
1509.0,1,1,7,7.8,7.3,Suburban,1,570140.0
1832.0,4,4,27,3.0,7.9,Suburban,0,808429.0
2594.0,4,3,61,5.4,8.9,Suburban,2,930440.0
2000.0,3,2,71,6.2,6.8,Urban,0,679620.0
1462.0,2,1,36,7.9,6.8,Suburban,1,590104.0
1663.0,3,2,23,3.8,8.6,Suburban,1,676762.0
2262.0,3,3,61,9.0,7.3,Rural,0,608720.0
2808.0,5,3,74,10.7,4.6,Suburban,2,893863.0
1137.0,2,1,11,10.5,4.3,Urban,0,482778.0
2468.0,3,3,25,2.4,9.8,Suburban,2,932145.0
1612.0,3,3,63,10.3,4.4,Urban,1,563439.0
825.0,2,1,10,10.6,6.7,Suburban,0,335616.0
707.0,1,1,77,17.7,8.3,Suburban,1,251020.0
2601.0,4,3,18,2.6,4.4,Rural,1,831926.0
2672.0,4,4,38,14.5,5.4,Urban,1,972458.0
1459.0,3,3,41,1.5,5.1,Rural,2,608142.0
1673.0,4,3,29,10.8,9.7,Suburban,1,704236.0
731.0,1,1,10,12.2,10.0,Urban,2,505844.0
2257.0,3,3,2,10.5,5.9,Urban,2,880506.0
1783.0,3,3,30,1.9,7.9,Rural,2,705990.0
869.0,1,1,21,13.9,7.5,Suburban,1,391349.0
1923.0,2,2,72,24.9,6.6,Urban,1,663585.0
966.0,2,3,53,2.9,4.6,Suburban,2,491607.0
2134.0,4,3,7,5.1,10.0,Urban,2,942559.0
1150.0,2,2,60,3.8,4.3,Suburban,1,484197.0
2002.0,3,2,49,9.4,7.3,Urban,2,794680.0
1408.0,2,2,10,4.6,6.0,Urban,1,654414.0
500.0,1,2,32,9.8,8.5,Urban,0,360544.0
2398.0,4,4,58,5.7,8.3,Suburban,0,846142.0
2431.0,4,3,51,7.0,5.5,Urban,0,799122.0
1487.0,2,2,45,6.4,5.8,Suburban,0,548331.0
1965.0,3,3,39,1.5,4.7,Suburban,2,717131.0
2063.0,4,3,55,6.8,7.3,Suburban,0,723855.0
2082.0,4,3,70,1.9,8.1,Rural,2,777351.0
2835.0,5,4,13,2.2,6.3,Suburban,1,1131591.0
2050.0,2,2,32,14.1,6.6,Urban,1,742110.0
1585.0,3,2,67,,9.9,Urban,0,632422.0
2057.0,3,3,40,8.8,8.4,Suburban,1,770262.0
1542.0,2,2,14,6.8,9.0,Suburban,1,715265.0
1161.0,1,1,10,22.2,3.6,Rural,0,336467.0
2532.0,5,4,58,6.7,7.8,Urban,2,984319.0
2120.0,2,2,39,6.0,,Urban,2,810097.0
683.0,2,2,63,5.8,5.1,Suburban,2,285824.0
1390.0,2,3,9,12.7,5.4,Rural,1,551341.0
2255.0,2,2,48,6.5,6.7,Suburban,1,706287.0
862.0,3,3,46,7.8,5.0,Suburban,1,450814.0
1348.0,2,2,36,13.3,5.8,Rural,2,444208.0
3397.0,4,4,34,9.0,6.3,Suburban,1,1132498.0
1601.0,2,2,21,11.3,7.9,Suburban,0,604688.0
2450.0,4,3,62,3.7,5.9,Rural,1,737660.0
2700.0,5,4,26,2.6,6.3,Urban,2,1046193.0
1255.0,2,2,33,15.9,8.5,Urban,2,674116.0
1960.0,1,1,68,11.0,4.4,Rural,1,397819.0
3035.0,6,5,50,9.6,7.3,Suburban,2,1096490.0
2076.0,3,2,3,8.2,7.6,Urban,0,772976.0
3219.0,4,3,4,6.4,7.6,Suburban,0,1160466.0
1418.0,2,2,43,3.8,6.2,Suburban,0,582240.0
2878.0,5,3,56,3.7,5.4,Urban,0,984916.0
1810.0,3,2,37,2.6,9.3,Suburban,0,758766.0
1604.0,2,2,76,2.0,5.7,Urban,0,591184.0
2184.0,3,3,68,3.3,5.3,Urban,1,777655.0
1733.0,2,2,35,4.9,7.0,Urban,0,651616.0
1749.0,3,3,18,15.9,5.9,Suburban,1,643643.0
2091.0,4,3,0,1.9,8.6,Rural,1,826563.0
715.0,1,1,2,7.0,6.6,Suburban,1,405953.0
1321.0,2,3,48,16.8,8.8,Suburban,1,451120.0
2234.0,4,3,26,12.6,7.7,Urban,0,891896.0
2395.0,4,4,11,6.5,6.4,Urban,0,1028702.0
2014.0,3,2,5,3.9,8.7,Suburban,2,812337.0
1966.0,4,3,37,1.2,6.0,Suburban,2,841201.0
2041.0,4,3,46,7.2,6.5,Suburban,1,749119.0
2375.0,3,3,2,10.1,7.8,Suburban,2,877102.0
944.0,1,2,33,4.0,7.3,Urban,0,470176.0
1494.0,3,3,35,13.2,6.0,Rural,0,530451.0
1755.0,3,3,4,6.0,4.7,Suburban,1,677591.0
1917.0,2,2,69,8.0,7.0,Rural,2,632057.0
534.0,1,1,18,6.5,5.9,Urban,2,364046.0
1046.0,2,2,10,13.1,7.0,Urban,1,485220.0
1790.0,2,2,10,13.3,6.4,Suburban,2,672845.0
2408.0,3,3,39,9.2,5.9,Suburban,1,783749.0
1549.0,2,2,56,5.3,6.6,Suburban,0,540525.0
1400.0,2,2,20,6.4,6.9,Urban,1,628403.0
2117.0,4,4,61,22.8,8.0,Suburban,0,649418.0
1603.0,2,1,20,17.4,7.6,Urban,0,660765.0
2329.0,4,3,14,6.8,10.0,Suburban,0,945952.0
1667.0,3,2,51,2.7,7.2,Urban,1,658906.0
1131.0,1,1,61,11.7,6.0,Rural,0,320148.0
2652.0,4,4,59,4.6,6.8,Urban,2,1006284.0
2542.0,4,3,44,15.4,7.9,Suburban,2,884275.0
1227.0,1,1,69,4.0,8.5,Urban,2,610547.0
2037.0,3,3,67,4.7,9.0,Urban,2,801283.0
1604.0,2,2,22,2.5,5.5,Suburban,1,685576.0
2171.0,4,3,50,19.4,8.9,Urban,2,756225.0
1275.0,1,1,5,3.2,6.9,Suburban,2,519432.0
2323.0,3,3,6,11.1,5.6,Urban,1,946375.0
2517.0,3,3,35,5.8,6.7,Suburban,2,872236.0
1232.0,1,1,56,4.7,8.8,,0,376335.0
1841.0,3,3,46,4.5,7.7,,2,735252.0
2530.0,4,3,13,15.2,5.2,Urban,2,974806.0
1199.0,3,2,59,30.8,5.2,Suburban,0,310776.0
1399.0,2,1,48,14.1,5.2,Urban,0,480192.0
2197.0,4,4,60,1.4,5.9,Urban,0,753536.0
1704.0,3,3,48,11.2,7.1,Suburban,0,607075.0
855.0,1,1,69,5.8,5.3,Urban,2,425352.0
1608.0,2,2,28,6.0,6.4,Urban,2,642685.0
2848.0,4,3,2,7.5,9.1,Suburban,2,1008690.0
3038.0,4,3,47,6.6,9.4,Urban,0,1023614.0
1418.0,2,2,78,9.2,9.3,Urban,1,545004.0
1252.0,2,1,7,5.6,4.3,Rural,2,519561.0
1525.0,1,2,77,11.9,9.5,Urban,2,605453.0
2881.0,4,4,61,6.9,7.1,Suburban,0,975435.0
2305.0,3,3,2,7.0,7.1,Urban,1,916312.0
2678.0,4,3,43,6.5,8.5,Rural,0,853917.0
2399.0,3,2,25,11.1,8.1,Suburban,0,779882.0
1008.0,1,1,52,5.0,4.2,Urban,2,448202.0
1231.0,2,2,61,,6.1,Rural,2,507104.0
1382.0,2,2,29,7.2,6.5,Urban,0,543309.0
1487.0,2,2,38,15.3,5.0,Rural,2,439116.0
1393.0,1,1,3,5.2,8.5,Suburban,2,567059.0
1463.0,2,2,0,,9.2,Urban,1,721412.0
2184.0,5,3,60,8.2,7.0,Suburban,0,769251.0
1881.0,2,2,28,14.6,7.4,Urban,2,743953.0
2532.0,3,2,70,7.0,7.0,Suburban,1,775445.0
1951.0,3,3,46,4.8,7.1,Suburban,1,764436.0
1394.0,2,1,31,4.8,8.7,Urban,2,626146.0
1913.0,3,2,70,7.7,4.4,Suburban,1,539514.0
893.0,1,1,4,6.6,7.7,Rural,0,443151.0
500.0,1,1,66,5.0,7.0,Suburban,1,272912.0
2186.0,3,2,5,7.8,5.9,Suburban,0,763616.0
2411.0,4,3,75,0.6,6.2,Urban,1,877488.0
1843.0,4,4,45,5.8,9.7,Rural,0,665329.0
1565.0,1,1,37,6.8,5.0,Rural,1,503558.0
995.0,1,1,52,1.7,6.7,Rural,1,351368.0
2500.0,3,3,63,3.0,9.4,Suburban,0,860237.0
2096.0,2,1,22,3.2,5.1,Urban,0,786781.0
1975.0,3,3,8,6.4,6.3,Urban,0,830928.0
1797.0,2,2,77,5.5,7.1,Suburban,0,580312.0
1518.0,3,3,41,5.6,7.6,Urban,0,664524.0
1132.0,2,2,22,1.8,6.9,Suburban,1,431124.0
1952.0,3,2,73,12.8,5.7,Urban,1,612845.0
1477.0,2,2,3,14.9,7.7,Suburban,0,596870.0
1546.0,2,2,67,2.2,6.8,Suburban,1,539091.0
2831.0,5,4,1,5.3,7.9,Urban,0,1046061.0
1771.0,3,3,52,5.5,8.4,Suburban,1,722909.0
500.0,1,1,3,8.6,4.8,Urban,1,416256.0
1479.0,3,3,11,4.8,8.5,Urban,1,707561.0
1199.0,1,1,26,12.0,6.6,Urban,1,539369.0
1716.0,2,2,14,2.8,8.2,Urban,0,767308.0
945.0,2,2,3,10.2,7.7,Urban,2,517832.0
2060.0,4,3,54,8.4,9.8,Urban,2,816338.0
1622.0,2,2,60,2.4,7.0,Urban,2,741541.0
1515.0,2,3,26,5.2,6.4,Urban,2,639512.0
1890.0,4,3,55,2.7,6.2,Suburban,0,678167.0
1754.0,2,2,26,20.2,5.4,Suburban,2,682976.0
1719.0,3,2,17,5.9,8.2,Urban,2,742536.0
1665.0,4,4,67,4.7,5.3,Urban,0,738651.0
1788.0,2,2,42,1.5,8.2,Urban,1,686161.0
2006.0,3,4,1,8.1,6.7,Urban,1,866258.0
1931.0,4,3,55,5.1,4.4,Urban,2,797684.0
2476.0,4,4,31,10.1,9.2,Suburban,1,912979.0
1472.0,3,3,5,16.5,2.0,Suburban,2,572193.0
1943.0,2,1,19,11.0,6.9,Suburban,2,722366.0
3268.0,5,5,25,3.0,7.4,Rural,2,1108472.0
1775.0,3,2,2,4.7,3.5,Rural,0,718722.0
1799.0,4,3,58,2.3,7.7,Urban,1,807529.0
1042.0,2,1,17,3.9,6.0,Urban,2,523770.0
1372.0,2,2,12,12.4,6.6,Suburban,0,536279.0
1736.0,3,3,14,4.1,9.0,Suburban,2,869263.0
2120.0,3,3,57,10.2,7.2,,2,736761.0
2189.0,4,4,40,4.5,6.5,Suburban,2,832394.0
1996.0,3,2,65,10.9,6.7,Rural,1,664477.0
2282.0,4,2,34,3.0,9.7,Suburban,2,826131.0
1200.0,1,1,54,2.5,7.6,Rural,2,446497.0
2093.0,3,2,37,20.1,5.7,Rural,0,604643.0
1808.0,2,3,47,3.2,6.3,Suburban,2,662770.0
1875.0,3,3,70,12.6,5.2,Urban,1,585741.0
1583.0,3,2,49,9.1,6.3,Urban,1,629759.0
1228.0,1,1,39,3.8,9.4,Urban,0,583060.0
1071.0,2,2,69,3.8,6.8,Rural,1,374150.0
1992.0,2,2,51,5.3,5.0,Rural,1,561119.0
2099.0,3,3,74,12.8,7.6,Urban,1,796194.0
1722.0,2,2,51,4.7,6.4,Urban,2,701501.0
1791.0,3,3,54,10.1,7.8,Suburban,2,673575.0
1368.0,2,1,41,8.4,6.6,Suburban,2,570869.0
2102.0,4,3,67,8.6,9.2,Suburban,1,783203.0
1836.0,4,4,24,20.5,5.6,Urban,2,826831.0
1581.0,2,2,43,9.6,5.3,Urban,2,645114.0
2320.0,4,3,72,8.5,8.4,Urban,2,799052.0
2187.0,4,3,17,1.5,4.0,Urban,2,847636.0
878.0,1,1,35,14.9,6.7,Urban,0,354928.0
1829.0,4,4,2,11.1,8.2,Urban,2,876028.0
1225.0,2,2,45,8.3,3.7,Suburban,2,457395.0
1884.0,2,1,27,5.3,7.1,Suburban,0,608663.0
500.0,1,2,44,1.6,4.8,Urban,2,398287.0
1918.0,3,3,18,9.5,4.2,Rural,1,703967.0
2227.0,3,3,66,6.7,5.4,Urban,2,788091.0
1734.0,2,2,78,19.6,6.7,Suburban,1,527012.0
1101.0,3,2,42,10.2,5.9,Urban,0,452538.0
2974.0,5,4,48,7.3,8.7,Suburban,1,1024312.0
2494.0,5,4,36,23.4,7.1,Urban,0,854825.0
1481.0,2,2,23,6.7,6.3,Suburban,0,602602.0
1643.0,2,3,36,18.5,5.0,Rural,1,530635.0
611.0,1,1,39,1.3,7.3,Urban,2,406083.0
2084.0,4,3,62,26.3,10.0,Suburban,0,671713.0
978.0,2,2,55,,5.9,Suburban,0,289222.0
2200.0,3,2,26,3.5,6.1,Urban,0,884725.0
2416.0,3,2,49,21.8,5.4,Urban,0,637502.0
1758.0,3,2,74,1.0,8.8,,0,668639.0
1161.0,2,2,33,2.6,8.4,Rural,0,495888.0
2549.0,4,3,67,9.3,6.3,Urban,1,858304.0
1801.0,2,2,37,15.0,6.1,Suburban,1,606675.0
1856.0,3,2,11,8.3,5.6,Suburban,1,670196.0
1241.0,2,2,14,1.7,6.6,Suburban,2,625857.0
1916.0,2,1,25,,8.5,Suburban,0,640091.0
1678.0,3,2,46,4.6,7.1,Urban,0,684066.0
1003.0,2,2,72,9.0,8.9,Suburban,2,425453.0
2604.0,4,3,31,6.1,5.9,Rural,0,824124.0
2855.0,5,4,22,14.2,3.5,Suburban,0,911966.0
2411.0,5,4,52,1.6,10.0,Urban,0,972704.0
2321.0,4,3,25,10.2,7.3,Suburban,1,873115.0
2859.0,4,4,34,2.6,8.2,Urban,0,1059506.0
1172.0,2,2,17,16.7,5.8,Urban,1,558430.0
1164.0,2,1,23,10.3,5.0,Urban,0,526591.0
1551.0,2,2,4,6.1,7.2,Urban,1,710681.0
1979.0,3,3,45,5.1,4.0,Suburban,2,742308.0
1624.0,2,2,38,8.7,,Urban,0,715277.0
1188.0,3,3,13,13.9,8.5,Suburban,1,521860.0
1803.0,3,3,60,8.4,7.7,Rural,2,692620.0
1743.0,3,3,16,6.1,7.4,Suburban,0,782887.0
2305.0,3,3,52,3.2,9.6,Urban,1,916085.0
1827.0,4,3,8,5.9,7.6,Rural,1,824354.0
657.0,1,1,2,14.0,4.1,Urban,0,423711.0
2031.0,3,2,9,11.3,6.8,Suburban,1,733392.0
2749.0,3,4,41,15.2,9.9,Urban,1,979529.0
1817.0,3,2,14,3.1,6.5,Rural,2,721823.0
2392.0,4,3,26,1.7,9.8,Urban,0,939066.0
1497.0,2,2,43,10.7,8.5,Rural,1,661357.0
2139.0,4,4,51,2.1,6.4,Rural,2,825958.0
1353.0,1,1,62,15.2,5.4,Rural,2,381990.0
1652.0,3,3,32,10.9,7.5,Suburban,1,600914.0
1657.0,2,2,8,8.2,8.9,Suburban,1,703000.0
2086.0,4,3,78,2.7,4.6,Rural,0,593819.0
1306.0,2,2,62,6.7,7.2,Urban,0,565800.0
921.0,2,2,66,5.9,3.9,Suburban,2,270028.0
2082.0,4,3,73,8.5,6.5,Urban,0,802772.0
2060.0,3,3,56,18.2,4.5,Urban,2,681329.0
1867.0,3,3,79,3.1,7.8,Urban,2,667149.0
2360.0,3,2,41,5.3,6.0,Rural,1,748002.0
1678.0,2,2,44,6.2,8.7,Urban,2,707281.0
